,County,tonale,a3,a4,a6,a7,a8,e-tron,e-tron gt,q3,q4 etron,q5,q8,q8 e-tron,2 series,3 series,5 series,7 series,i4,ix,ix1,ix3,x1,x2,x3,x5,xm,atto 3,dolphin,seal,berlingo pass,c4,c5 aircross,c5 x,space tourer,born,formentor,leon sp,500,kuga,mach-e,puma,ora 03,civic,cr-v,jazz,zr-v,ioniq 5,ioniq 6,kona,tucson,f-pace,i-pace,compass,cee'd,ev6,ev9,niro,sportage,stonic,defender,discovery sport,range rover,range rover evoque r,range rover sport ra,velar,es,lbx,nx,rx,ux,cx-60,mx,c class,cla class,cle coupe,e class,eqa,eqb,eqe suv,eqv,gla class,glc,gle class,gle coupe,s class,mg4,mg5,zs,ariya,juke,leaf,qashqai,x-trail,astra,grandland x,mokka,208,308,408,508,2008,3008,5008,expert,rifter,polestar 2,cayenne,taycan,captur,megane,leon,enyaq,octavia,smart 1,solterra,swace,vitara,model 3,model y,bz4x,camry,c-hr,corolla,corolla cross,highlander,prius hybrid,rav 4,yaris,yaris cross,arteon,id buzz pc,id.3,id.4,id.5,id.7,t7,tiguan,touareg,up,c40,ex30,xc40,xc60,xc90,q6 e-tron,q7,rs6,i5,ix2,ami,ec4x,c5 aircorss,c4 x,ds4,unidentified,focus,hr-v,tuscon,santa fe,sorento,electre,mazda2,eqe,eqs,eqs suv,glb,gls,mg3,mini cooper,corsa,grandlandx,polestar 4,panamera,scenic,clio,arkana,symbioz,austral,rafale,kodiaq,smart 3,korandoo,torres,swift,golf,v60,duster,cyberster,polestar 3,giulia,sq8,x6,4 series,ds7,ny1,avenger,renegade,amg,a class,b class,e class hearse,hs,mini hatch,korando,rav4,DS3,ds9,600,500c,honda e,e-pace,mini clubman,mini countryman,combo pass,911,tarraco,doblo,panda,superb,C40,a5,galaxy,m5,seal u,tavascan,spring,explorer,ev3,cx-80,aceman,macan,ex90,s-max
10,Meath,0,3,0,4,2,0,1,0,2,9,6,1,1,0,6,11,1,2,1,7,7,11,1,7,19,0,12,20,35,1,4,3,1,0,9,7,1,0,44,0,36,0,1,1,2,1,22,13,70,117,2,0,0,15,42,17,43,74,4,5,2,2,0,8,0,6,6,17,4,0,6,0,4,4,8,14,2,1,0,0,3,15,6,1,1,28,4,9,16,24,32,2,29,2,1,2,5,4,1,0,10,26,16,0,1,7,4,1,2,4,0,17,12,0,0,0,6,84,70,25,7,94,112,75,1,8,168,63,145,1,1,20,62,5,12,0,1,1,3,5,6,9,14,11,1,2,0,1,0,0,2,0,0,0,0,5,0,4,9,14,0,0,1,1,0,0,0,4,5,0,0,0,2,1,0,3,4,2,3,0,0,0,1,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,4,0,0,0,0,0,0
11,Kildare,0,5,0,6,1,0,1,1,12,39,10,2,2,2,9,22,0,13,3,16,5,9,0,12,23,0,16,16,30,2,5,4,0,0,18,19,0,1,32,1,40,0,4,0,5,0,24,16,116,133,0,0,0,21,53,26,53,101,7,6,2,6,3,19,2,2,7,6,1,1,11,5,4,5,6,26,5,7,4,0,7,19,7,1,0,23,3,4,23,27,27,6,18,1,0,2,2,2,0,1,4,24,30,0,0,8,8,2,6,10,1,35,11,1,0,2,7,96,99,25,6,109,100,87,1,6,187,84,189,0,10,52,102,6,23,1,6,3,5,4,26,25,33,22,2,2,0,0,0,0,0,0,0,0,0,5,0,0,14,18,0,1,2,0,0,0,1,0,5,1,0,0,1,3,0,8,1,1,2,3,1,0,0,20,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,3,1,0,2,1,1,0,0,0,0
12,Kerry,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,11,0,1,0,12,2,5,0,5,6,0,5,0,5,0,3,4,0,1,0,0,0,0,50,1,49,0,1,0,0,0,6,4,24,59,0,0,1,20,12,8,46,69,3,1,0,1,1,2,0,1,1,2,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,0,0,11,1,1,7,16,11,2,10,0,0,0,2,1,0,1,2,25,5,0,0,2,2,0,3,0,0,5,2,0,0,1,7,17,9,3,1,45,61,38,1,5,89,25,78,0,0,9,24,2,0,1,0,0,2,2,9,3,15,3,1,2,0,0,0,1,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,2,1,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
13,Waterford,0,1,1,3,1,1,0,0,5,10,3,2,0,0,4,6,0,3,0,3,1,2,1,3,4,1,12,15,23,0,1,1,0,0,11,3,0,2,20,0,24,4,2,0,1,0,16,5,37,52,0,0,0,9,16,6,23,33,0,1,2,1,0,2,0,4,5,4,1,2,6,1,3,5,2,12,0,1,0,0,4,6,2,0,1,12,1,3,6,13,8,4,7,0,0,0,2,2,1,0,1,17,1,0,0,1,1,0,0,8,0,6,9,0,1,2,8,31,14,2,0,32,45,39,0,3,52,37,75,0,4,17,35,3,5,0,1,3,5,3,10,5,15,8,0,1,0,1,0,0,1,1,0,0,0,5,1,1,5,5,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,14,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,1,1,0,1,1,1,0,1,0,0
14,Westmeath,0,0,0,3,0,1,0,0,0,4,4,0,0,1,2,3,0,0,0,3,0,2,0,3,2,0,4,0,10,0,0,1,0,0,2,2,0,0,9,0,15,1,0,1,2,1,11,5,26,38,0,0,0,8,12,8,17,26,1,0,0,0,2,2,0,2,2,1,0,0,2,0,1,1,0,2,0,0,0,0,0,2,0,1,0,9,1,2,9,18,6,3,7,0,1,3,0,1,0,0,1,9,2,0,0,1,0,0,0,2,0,5,1,0,0,0,4,14,11,7,2,31,52,32,1,4,62,26,61,0,0,5,14,3,1,0,1,2,0,1,5,1,4,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,9,4,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
15,Wexford,0,0,0,2,0,0,0,0,2,12,1,1,0,0,7,10,0,1,1,7,2,2,0,2,6,1,7,8,24,1,1,4,2,0,4,2,1,0,16,0,27,3,1,0,5,0,10,5,48,54,0,0,0,11,18,6,31,24,2,0,0,0,2,0,0,0,2,1,1,1,4,0,3,3,0,8,3,1,2,0,0,10,5,2,0,28,3,7,7,17,7,1,17,0,0,1,2,1,2,0,4,23,5,0,0,1,1,0,3,15,0,10,4,0,0,2,9,25,18,9,1,60,65,53,0,5,74,46,89,0,2,26,49,4,5,0,2,0,0,3,17,8,21,7,0,0,0,0,1,0,2,0,0,0,0,1,0,0,5,3,0,2,0,0,0,0,0,6,1,1,0,0,2,3,2,7,3,1,3,0,0,0,0,6,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0
16,Mayo,0,1,0,1,0,0,0,0,2,5,2,0,0,0,0,1,0,2,0,2,0,2,1,0,1,0,0,2,4,0,0,0,0,2,0,4,0,0,20,0,22,0,1,1,0,0,9,7,30,40,0,0,0,5,6,0,11,28,1,1,0,0,0,0,0,1,0,2,1,0,1,0,3,2,0,8,2,1,0,0,1,5,4,1,0,10,0,1,4,10,6,3,12,0,0,2,2,1,0,0,2,13,5,0,0,0,0,0,5,2,2,7,1,0,0,2,10,7,4,2,3,39,45,48,1,2,60,24,72,0,1,10,10,2,3,0,2,1,0,1,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,Roscommon,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,3,1,0,1,1,0,0,0,3,1,0,0,8,0,8,0,0,0,0,0,2,0,4,17,0,0,0,2,1,1,5,5,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,5,0,3,3,7,7,2,6,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,11,11,3,1,42,40,27,0,1,73,18,51,0,0,7,8,0,2,0,1,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Laois,0,0,0,2,1,0,0,0,1,2,2,0,0,0,0,2,0,1,0,2,0,0,0,1,1,0,5,4,6,0,0,1,0,0,3,5,0,1,12,0,35,2,3,4,1,3,0,2,19,17,0,0,0,12,17,2,23,37,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,4,0,0,0,0,1,5,1,0,0,1,0,2,2,6,5,0,5,1,0,4,0,0,0,0,1,4,4,0,0,1,0,0,2,9,0,13,1,1,0,1,6,17,15,3,0,16,18,17,0,2,38,11,26,0,0,8,11,0,1,0,1,0,0,2,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,9,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
19,Offaly,0,1,1,0,0,0,0,0,1,0,2,1,0,0,1,2,0,0,0,0,1,1,0,1,2,0,0,1,3,1,1,0,0,1,0,1,0,0,8,0,11,1,0,0,0,0,8,5,13,34,0,0,0,11,8,1,15,15,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,3,0,0,0,0,1,3,0,0,1,3,0,0,2,12,3,2,8,0,0,1,0,0,0,0,1,13,0,0,0,0,1,0,0,4,0,3,1,1,0,0,2,10,6,4,3,25,31,33,0,4,67,22,48,0,0,7,12,1,1,0,0,0,0,0,3,3,4,2,0,1,0,0,1,0,3,0,0,0,0,2,2,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,2,4,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
